filename,common_name,scientific_name,confidence,alternative_species,detection_timestamp,station_metadata,audio_metadata,processing_metadata,station_id
20250821_085534_314957.wav,European Goldfinch,Carduelis carduelis,0.8903796076774597,[],2025-08-21 08:55:34.314957,"{""station_name"": ""Development Station"", ""lat"": 54.607868, ""lon"": -5.926437, ""description"": ""Back garden, Belfast, Northern Ireland""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 5.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_090916_589056.wav,Common Chaffinch,Fringilla coelebs,0.5897343754768372,"[{'common_name': 'Great Tit', 'scientific_name': 'Parus major', 'confidence': 0.45038509368896484}]",2025-08-21 09:09:16.589056,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 3.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_090921_611505.wav,Great Tit,Parus major,0.8833581209182739,"[{'common_name': 'Common Chaffinch', 'scientific_name': 'Fringilla coelebs', 'confidence': 0.2680538296699524}]",2025-08-21 09:09:21.611505,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 6.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_090927_585811.wav,Carrion Crow,Corvus corone,0.693871796131134,[],2025-08-21 09:09:27.585811,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 3.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_090933_469531.wav,Common Chaffinch,Fringilla coelebs,0.6348139643669128,"[{'common_name': 'Great Tit', 'scientific_name': 'Parus major', 'confidence': 0.2522699236869812}]",2025-08-21 09:09:33.469531,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 3.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_090951_475957.wav,Common Chaffinch,Fringilla coelebs,0.7496090531349182,"[{'common_name': 'Great Tit', 'scientific_name': 'Parus major', 'confidence': 0.3326151371002197}, {'common_name': 'Dunnock', 'scientific_name': 'Prunella modularis', 'confidence': 0.10129024088382721}]",2025-08-21 09:09:51.475957,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 7.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_091025_478621.wav,Common Chaffinch,Fringilla coelebs,0.5059492588043213,"[{'common_name': 'Great Tit', 'scientific_name': 'Parus major', 'confidence': 0.12244363874197006}]",2025-08-21 09:10:25.478621,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 3.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_091041_474013.wav,Reed Bunting,Emberiza schoeniclus,0.5871391892433167,"[{'common_name': 'White Wagtail', 'scientific_name': 'Motacilla alba', 'confidence': 0.10311900079250336}]",2025-08-21 09:10:41.474013,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 3.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_091056_477211.wav,Great Tit,Parus major,0.7178189754486084,"[{'common_name': 'Coal Tit', 'scientific_name': 'Periparus ater', 'confidence': 0.10359064489603043}]",2025-08-21 09:10:56.477211,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 7.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
20250821_091129_596885.wav,Common Chaffinch,Fringilla coelebs,0.8479329347610474,"[{'common_name': 'Great Tit', 'scientific_name': 'Parus major', 'confidence': 0.14108310639858246}]",2025-08-21 09:11:29.596885,"{""station_name"": ""Test Station"", ""lat"": 52.9517189, ""lon"": 1.046358, ""description"": ""Teal Bird Hide, Norfolk Wildlife Trust,  UK""}","{""format"": ""wav"", ""channels"": 1, ""sample_rate"": 48000, ""dtype"": ""int16"", ""duration"": 4.0}","{""model_name"": ""BirdNet-Analyser v2.4"", ""sensitivity"": 1.5, ""min_confidence"": 0.5, ""segment_duration"": 3, ""segment_overlap"": 2}",
